,obj,booster,max_depth,score,svr_rbf,svr_linear
0,reg:squarederror,gblinear,4,0.8151620695562716,svr_rbf,svr_lin
1,reg:squarederror,gblinear,8,0.8151620695562716,0.22535889597465208,0.9919833912941818
2,reg:squarederror,gblinear,12,0.8151620695562716,,
3,reg:squarederror,gbtree,4,0.99308987221089,,
4,reg:squarederror,gbtree,8,0.9939231119313345,,
5,reg:squarederror,gbtree,12,0.9939416947213084,,
6,reg:squarederror,dart,4,0.9930982648252176,,
7,reg:squarederror,dart,8,0.9939223246454977,,
8,reg:squarederror,dart,12,0.9939378735398221,,
9,reg:linear,gblinear,4,0.8151620695562716,,
10,reg:linear,gblinear,8,0.8151620695562716,,
11,reg:linear,gblinear,12,0.8151620695562716,,
12,reg:linear,gbtree,4,0.99308987221089,,
13,reg:linear,gbtree,8,0.9939231119313345,,
14,reg:linear,gbtree,12,0.9939416947213084,,
15,reg:linear,dart,4,0.9930982648252176,,
16,reg:linear,dart,8,0.9939223246454977,,
17,reg:linear,dart,12,0.9939378735398221,,
