,obj,booster,max_depth,score,svr_rbf,svr_linear
0,reg:squarederror,gblinear,4,0.743065236372624,svr_rbf,svr_lin
1,reg:squarederror,gblinear,8,0.743065236372624,0.04863642680042568,0.9870819144594118
2,reg:squarederror,gblinear,12,0.743065236372624,,
3,reg:squarederror,gbtree,4,0.9920405811380907,,
4,reg:squarederror,gbtree,8,0.9919548942761418,,
5,reg:squarederror,gbtree,12,0.9919457702778588,,
6,reg:squarederror,dart,4,0.9920512490466334,,
7,reg:squarederror,dart,8,0.9919544622708937,,
8,reg:squarederror,dart,12,0.9919474819963205,,
9,reg:linear,gblinear,4,0.743065236372624,,
10,reg:linear,gblinear,8,0.743065236372624,,
11,reg:linear,gblinear,12,0.743065236372624,,
12,reg:linear,gbtree,4,0.9920405811380907,,
13,reg:linear,gbtree,8,0.9919548942761418,,
14,reg:linear,gbtree,12,0.9919457702778588,,
15,reg:linear,dart,4,0.9920512490466334,,
16,reg:linear,dart,8,0.9919544622708937,,
17,reg:linear,dart,12,0.9919474819963205,,
