,obj,booster,max_depth,score,svr_rbf,svr_linear
0,reg:squarederror,gblinear,4,-0.0405314005008357,svr_rbf,svr_lin
1,reg:squarederror,gblinear,8,-0.0405314005008357,-0.5025324161544074,-0.5836540706635769
2,reg:squarederror,gblinear,12,-0.0405314005008357,,
3,reg:squarederror,gbtree,4,-0.7219726169051885,,
4,reg:squarederror,gbtree,8,-0.7901804039477964,,
5,reg:squarederror,gbtree,12,-0.7836348261534514,,
6,reg:squarederror,dart,4,-0.7219726366134236,,
7,reg:squarederror,dart,8,-0.7797623918568619,,
8,reg:squarederror,dart,12,-0.7734689910899435,,
9,reg:linear,gblinear,4,-0.0405314005008357,,
10,reg:linear,gblinear,8,-0.0405314005008357,,
11,reg:linear,gblinear,12,-0.0405314005008357,,
12,reg:linear,gbtree,4,-0.7219726169051885,,
13,reg:linear,gbtree,8,-0.7901804039477964,,
14,reg:linear,gbtree,12,-0.7836348261534514,,
15,reg:linear,dart,4,-0.7219726366134236,,
16,reg:linear,dart,8,-0.7797623918568619,,
17,reg:linear,dart,12,-0.7734689910899435,,
